	course	freq
888	GRK 201	1
889	GRK 202	1
890	GRK 203	1
891	GRK 250	1
892	GRK 250H	1
893	GRK 302	1
894	GRK 303	1
895	GRK 304	1
896	GRK 306	1
897	GRK 307	1
898	GRK 308	1
899	GRK 309	1
900	GRK 311	1
901	GRK 350	1
902	GRK 350H	1
903	HEBR 201	1
904	HIST 114Y	2
905	HIST 116Y	2
906	HIST 200	5
907	HIST 201	4
908	HIST 203	6
909	HIST 204	6
910	HIST 205	4
911	HIST 207	6
912	HIST 208	5
913	HIST 211	5
914	HIST 212	4
915	HIST 213	6
916	HIST 214	5
917	HIST 215	6
918	HIST 218	5
919	HIST 220	5
920	HIST 221	7
921	HIST 222	5
922	HIST 228	4
923	HIST 229	5
924	HIST 230	5
925	HIST 231	5
926	HIST 232	5
927	HIST 233	4
928	HIST 234	5
929	HIST 240	4
930	HIST 242	5
931	HIST 243	5
932	HIST 244	6
933	HIST 245	6
934	HIST 246	6
935	HIST 247	5
936	HIST 248	5
937	HIST 249	5
938	HIST 250	2
939	HIST 250H	2
940	HIST 252	5
941	HIST 253	5
942	HIST 254	6
943	HIST 256	5
944	HIST 260	5
945	HIST 261	4
946	HIST 262	4
947	HIST 263	4
948	HIST 264	4
949	HIST 265	5
950	HIST 266	5
951	HIST 267	4
952	HIST 268	4
953	HIST 269	1
954	HIST 270	3
955	HIST 272	4
956	HIST 273	4
957	HIST 274	1
958	HIST 275	4
959	HIST 276	4
960	HIST 277	6
961	HIST 278	5
962	HIST 279	5
963	HIST 280	5
964	HIST 284	6
965	HIST 285	5
966	HIST 293	6
967	HIST 299	5
968	HIST 302	6
969	HIST 311	5
970	HIST 312	5
971	HIST 314	5
972	HIST 319	5
973	HIST 320	6
974	HIST 321	5
975	HIST 325	5
976	HIST 329	4
977	HIST 330	5
978	HIST 334	3
979	HIST 340	5
980	HIST 341	4
981	HIST 350	2
982	HIST 350H	2
983	HIST 352	4
984	HIST 354	5
985	HIST 358	6
986	HIST 359	4
987	HIST 360	2
988	HIST 364	6
989	HIST 365	4
990	HIST 366	6
991	HIST 367	5
992	HIST 369	5
993	HIST 370	2
994	HIST 375	4
995	HIST 376	5
996	HIST 377	5
997	HIST 379	5
998	HIST 383	4
999	HIST 395	5
1000	HNUR 201	1
1001	HNUR 202	1
1002	HNUR 304	1
1003	ITAS 201	1
1004	ITAS 202	1
1005	ITAS 202W	1
1006	ITAS 203	1
1007	ITAS 209	1
1008	ITAS 210	2
1009	ITAS 212	1
1010	ITAS 220	1
1011	ITAS 250	1
1012	ITAS 250H	1
1013	ITAS 261	3
1014	ITAS 263	3
1015	ITAS 270	1
1016	ITAS 271	1
1017	ITAS 272	1
1018	ITAS 273	1
1019	ITAS 274	3
1020	ITAS 310	1
1021	ITAS 315	1
1022	ITAS 320	1
1023	ITAS 324	1
1024	ITAS 349	1
1025	ITAS 350	1
1026	ITAS 360	1
1027	ITAS 370	1
1028	JEST 104	1
1029	JPN 201	1
1030	JPN 202	1
1031	JPN 231	1
1032	JPN 232	1
1033	JPN 251	3
1034	JPN 252	2
1035	JPN 280	2
1036	JPN 290	2
1037	JPN 308	2
1038	JPN 309	2
1039	JPN 314	2
1040	JPN 352	2
1041	JPN 353	1
1042	JPN 356	2
1043	JSWT 223	2
1044	JWST 102	1
1045	JWST 201	2
1046	JWST 209	2
1047	JWST 211	2
1048	JWST 233	2
1049	JWST 245	2
1050	JWST 250	2
1051	JWST 250H	2
1052	JWST 270	4
1053	JWST 274	2
1054	JWST 277	3
1055	JWST 290	2
1056	JWST 344	2
1057	JWST 345	2
1058	JWST 350	2
1059	JWST 350H	2
1060	JWST 360	2
1061	JWST 370	2
