	course	0	1	2	3	4	5	6	7
676	CS 231	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science	Media Arts and Sciences					
674	CS 232	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science	Data Science	Education Studies	Media Arts and Sciences	Neuroscience		
811	CS 234	Computer Science	Data Science	Media Arts and Sciences					
677	CS 235	Cognitive and Linguistic Sciences - Computer Science Concentration	Cognitive and Linguistic Sciences - Linguistics Concentration	Computer Science					
809	CS 240	Computer Science							
812	CS 242	Computer Science	Media Arts and Sciences						
813	CS 250	Computer Science							
814	CS 250H	Computer Science							
678	CS 251	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science						
815	CS 301	Computer Science							
816	CS 304	Computer Science	Data Science	Media Arts and Sciences					
679	CS 305	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science	Data Science	Media Arts and Sciences	Neuroscience			
817	CS 307	Computer Science	Media Arts and Sciences						
818	CS 313	Computer Science	Data Science						
819	CS 315	Computer Science	Data Science	Media Arts and Sciences					
820	CS 320	Computer Science	Media Arts and Sciences						
821	CS 321	Computer Science	Media Arts and Sciences						
680	CS 323	Cognitive and Linguistic Sciences - Computer Science Concentration	Media Arts and Sciences						
822	CS 331	Computer Science							
681	CS 332	Cognitive and Linguistic Sciences - Computer Science Concentration	Media Arts and Sciences	Neuroscience					
823	CS 333	Computer Science							
824	CS 341	Computer Science							
825	CS 342	Computer Science	Data Science						
826	CS 343	Computer Science	Data Science						
827	CS 350	Computer Science							
828	CS 350H	Computer Science							
829	CS 360	Computer Science							
830	CS 370	Computer Science							
847	EALC 221	East Asian Languages and Cultures	East Asian Studies	Religion					
854	EALC 225	East Asian Languages and Cultures	East Asian Studies	Religion					
855	EALC 236	East Asian Languages and Cultures	East Asian Studies	Religion					
856	EALC 325	East Asian Languages and Cultures	East Asian Studies	Religion					
857	EALC 345	East Asian Languages and Cultures	East Asian Studies	Religion					
918	ECON 101	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
920	ECON 102	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
834	ECON 103	Data Science	Economics	International Relations - Economics					
919	ECON 201	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
921	ECON 202	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
846	ECON 203	Data Science	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science			
922	ECON 213	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
923	ECON 214	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
924	ECON 220	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
106	ECON 222	American Studies	Economics	International Relations - History	International Relations - Political Science				
107	ECON 226	American Studies	Economics	Education Studies	International Relations - History	International Relations - Political Science			
109	ECON 228	American Studies	Economics	International Relations - History	International Relations - Political Science				
